Compound.Name,Level,Classification
Ethyl_dihydroxybenzoate,superclass,Benzenoids
Ethyl_dihydroxybenzoate,class,Benzene_and_substituted_derivatives
Ethyl_dihydroxybenzoate,subclass,Benzoic_acids_and_derivatives
Ethyl_dihydroxybenzoate,level 5,Benzoic_acid_esters
Ethyl_dihydroxybenzoate,level 6,m-Hydroxybenzoic_acid_esters
Ethyl_dihydroxybenzoate,level 7,m-Hydroxybenzoic_acid_esters
Ethyl_dihydroxybenzoate,level 8,m-Hydroxybenzoic_acid_esters
Flavin_adenine_dinucleotide,kingdom,Organic_compounds
Flavin_adenine_dinucleotide,superclass,Nucleosides_nucleotides_and_analogues
Flavin_adenine_dinucleotide,class,Flavin_nucleotides
Flavin_adenine_dinucleotide,subclass,Flavin_nucleotides
Flavin_adenine_dinucleotide,level 5,Flavin_nucleotides
Flavin_adenine_dinucleotide,level 6,Flavin_nucleotides
Flavin_adenine_dinucleotide,level 7,Flavin_nucleotides
Flavin_adenine_dinucleotide,level 8,Flavin_nucleotides
D-Fructose_6-phosphate,kingdom,Organic_compounds
D-Fructose_6-phosphate,superclass,Organic_oxygen_compounds
D-Fructose_6-phosphate,class,Organooxygen_compounds
D-Fructose_6-phosphate,subclass,Carbohydrates_and_carbohydrate_conjugates
D-Fructose_6-phosphate,level 5,Monosaccharides
D-Fructose_6-phosphate,level 6,Hexoses
D-Fructose_6-phosphate,level 7,Hexose_phosphates
D-Fructose_6-phosphate,level 8,Hexose_phosphates
Fumaric_acid,kingdom,Organic_compounds
Fumaric_acid,superclass,Organic_acids_and_derivatives
Fumaric_acid,class,Carboxylic_acids_and_derivatives
Fumaric_acid,subclass,Dicarboxylic_acids_and_derivatives
Fumaric_acid,level 5,Dicarboxylic_acids_and_derivatives
Fumaric_acid,level 6,Dicarboxylic_acids_and_derivatives
Fumaric_acid,level 7,Dicarboxylic_acids_and_derivatives
Fumaric_acid,level 8,Dicarboxylic_acids_and_derivatives
D-Gluconic_acid,kingdom,Organic_compounds
D-Gluconic_acid,superclass,Organic_oxygen_compounds
D-Gluconic_acid,class,Organooxygen_compounds
D-Gluconic_acid,subclass,Carbohydrates_and_carbohydrate_conjugates
D-Gluconic_acid,level 5,Sugar_acids_and_derivatives
D-Gluconic_acid,level 6,Sugar_acids_and_derivatives
D-Gluconic_acid,level 7,Sugar_acids_and_derivatives
D-Gluconic_acid,level 8,Sugar_acids_and_derivatives
Glucosamine,kingdom,Organic_compounds
Glucosamine,superclass,Organic_oxygen_compounds
