,Compound.Type,Column,Compound.Name,,IUPAC.Name,InChI.Key.Name,Canon.SMILES.Name
74,Vitamin B12,RP,Hydroxocobalamin,,"cobalt(2+);[5-(5,6-dimethylbenzimidazol-1-yl)-4-hydroxy-2-(hydroxymethyl)oxolan-3-yl] [(2S)-1-[3-[(2R,3R,4Z,7S,9Z,12S,13S,14Z,17S,18S,19R)-2,13,18-tris(2-amino-2-oxoethyl)-7,12,17-tris(3-amino-3-oxopropyl)-3,5,8,8,13,15,18,19-octamethyl-2,7,12,17-tetrahydro-1H-corrin-21-id-3-yl]propanoylamino]propan-2-yl] phosphate;hydrate",DQOCFCZRZOAIBN-IQFXPAJWSA-L,CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)([O-])OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=N6)C(=C7C(C(C(=N7)C=C8C(C(C(=N8)C(=C4[N-]5)C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.O.[Co+2]
75,Phytohormone,RP,Indole-3-acetic acid,,2-(1H-indol-3-yl)acetic acid,SEOVTRFCIGRIMH-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=CN2)CC(=O)O
76,Phytohormone,RP,Indole-3-acetamide,,2-(1H-indol-3-yl)acetamide,ZOAMBXDOGPRZLP-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=CN2)CC(=O)N
77,Internal Standard,RP,"Indole-3-acetic acid, 2H5",,,,
78,Phytohormone,RP,Indole-3-carboxylic acid,,1H-indole-3-carboxylic acid,KMAKOBLIOCQGJP-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=CN2)C(=O)O
79,Phytohormone,RP,Indolelactate,,2-hydroxy-3-(1H-indol-3-yl)propanoic acid,XGILAAMKEQUXLS-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)O
80,Phytohormone,RP,Indole-3-methyl acetate,,methyl 2-(1H-indol-3-yl)acetate,KTHADMDGDNYQRX-UHFFFAOYSA-N,COC(=O)CC1=CNC2=CC=CC=C21
81,New2,RP,Indoleacrylic acid,,3-(1H-indol-3-yl)prop-2-enoic acid,PLVPPLCLBIEYEA-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=CN2)C=CC(=O)O
82,New2,RP,Isobutyryl-carnitine,,(3R)-3-(2-methylpropanoyloxy)-4-(trimethylazaniumyl)butanoate,LRCNOZRCYBNMEP-SECBINFHSA-N,CC(C)C(=O)OC(CC(=O)[O-])C[N+](C)(C)C
83,Phytohormone,RP,Kinetin,,N-(furan-2-ylmethyl)-7H-purin-6-amine,QANMHLXAZMSUEX-UHFFFAOYSA-N,C1=COC(=C1)CNC2=NC=NC3=C2NC=N3
